District,Route,County,Postmile,Description,Back_Peak_Hour,Back_Peak_Month,Back_AADT,Ahead_Peak_Hour,Ahead_Peak_Month,Ahead_AADT
4,101 ,SON, 25.902 ,FULTON RD INTERCHANGE,6100,79000,76000,6600,86000,82000
4,128 ,SON, 15.42 ,CHALK HILL RD,190,2200,1950,210,2450,2200
4,12 ,SON,R12.94 ,WRIGHT/FULTON RDS,1750,23300,22200,2750,36000,35500
2,3 ,SIS, 6.955 ,GAZELLE RD,40,270,190,70,430,310
4,101 ,SON, 24.864 ,RIVER RD INTERCHANGE,6900,90000,86000,6100,79000,76000
2,3 ,SIS, 38.258 ,MOFFETT CREEK RD,390,3850,2850,340,3550,2900
4,12 ,SON,R14.45 ,"SANTA ROSA, STONY POINT RD",2750,36000,35500,4750,62000,61000
1,29 ,LAK, 27.89 ,JCT. RTE. 281,850,9400,8600,820,8700,7900
1,281 ,LAK, 17 ,JCT. RTE. 29,590,6900,6200,0,0,0
4,116 ,SON, 33.61 ,STONY POINT RD EAST,1550,19000,18400,1250,15700,15100
1,281 ,LAK, 14 ,BEGIN STATE HWY,0,0,0,420,4350,3900
4,101 ,SON, 23.3 ,HOPPER AVE CONNECTIONS,6400,84000,80000,6900,90000,86000
2,299 ,TRI, 72.246 ,TRINITY/SHASTA COUNTY LINE,570,4650,3800,0,0,0
2,299 ,SHA, 0 ,TRINITY/SHASTA COUNTY LINE,0,0,0,570,4650,3800
4,101 ,SON, 22.814 ,"SANTA ROSA, MENDOCINO AVE INTERCHANGE",6300,82000,78000,6400,84000,80000
4,101 ,SON, 22.52 ,BICENTENNIAL WAY INTERCHANGE,7800,100000,97000,6300,82000,78000
1,281 ,LAK, 15.06 ,POINT LAKEVIEW RD,350,3700,3300,590,6900,6200
4,101 ,SON, 21.741 ,"SANTA ROSA, STEELE LANE INTERCHANGE",8200,105000,102000,7800,100000,97000
4,12 ,SON,R15.3 ,"SANTA ROSA, DUTTON AVE INTERCHANGE",4750,62000,61000,5700,74000,73000
4,101 ,SON, 20.74 ,"SANTA ROSA, COLLEGE AVE",8800,112000,109000,8200,105000,102000
1,175 ,LAK, 19.62 ,COBB POST OFFICE,460,4350,3900,330,3100,2800
4,101 ,SON, 20.095 ,"SANTA ROSA, FOURTH ST INTERCHANGE",7800,99000,96000,8800,112000,109000
4,101 ,SON, 16.538 ,TODD RD INTERCHANGE,8300,105000,102000,8500,108000,105000
4,101 ,SON, 18.492 ,HEARN AVE INTERCHANGE,8500,108000,105000,9000,114000,111000
4,12 ,SON,R16.039 ,"SANTA ROSA, JCT. RTE. 101",5700,74000,73000,5600,73000,72000
4,101 ,SON, 19.646 ,"SANTA ROSA, JCT. RTE. 12",10000,128000,124000,7800,99000,96000
4,101 ,SON, 19.004 ,BAKER AVE INTERCHANGE,9000,114000,111000,10000,128000,124000
4,101 ,SON, 15.528 ,SANTA ROSA AVE INTERCHANGE,8800,112000,109000,8300,105000,102000
4,101 ,SON, 11.995 ,"COTATI, SIERRA AVE INTERCHANGE",7300,93000,90000,7000,89000,86000
4,101 ,SON, 13.83 ,"ROHNERT PARK, ROHNERT PARK EXPRESSWAY",7500,95000,92000,8000,102000,99000
4,116 ,SON, 35.03 ,"PETALUMA, JCT. RTE. 101",1850,23400,22500,3000,40500,38500
4,101 ,SON, 12.682 ,"COTATI, NORTH JCT. RTE. 116",7000,89000,86000,7500,95000,92000
4,101 ,SON, 15.018 ,"ROHNERT PARK, WILFRED AVE INTERCHANGE",8000,102000,99000,8800,112000,109000
2,3 ,TRI, 59.64 ,TRINITY CENTER STATE HWY MAINTENANCE STATION,200,900,630,200,900,630
4,101 ,SON, 10.666 ,RAILRD AVE CONNECTION,7400,94000,91000,7300,93000,90000
2,3 ,TRI, 67.894 ,COFFEE CREEK RD,130,1300,660,70,310,260
4,12 ,SON,R16.63 ,"SANTA ROSA, BENNETT VALLEY RD",5300,74000,72000,3650,51000,49500
1,20 ,LAK, 25.97 ,"CLEAR LAKE OAKS, EAST",630,6600,6000,640,6700,6100
4,1 ,MRN, 17.2 ,BOLINAS RD,240,2750,2300,260,3000,2500
4,1 ,MRN, 17.066 ,FAIRFAX/BOLINAS RDS,280,3250,2700,240,2750,2300
2,3 ,SIS, 0.408 ,TRINITY/SISKIYOU COUNTY LINE,50,280,190,50,280,190
4,12 ,SON,R17.081 ,"SANTA ROSA, BROOKWOOD/ MAPLE AVES",3650,51000,49500,4450,62000,60000
4,101 ,SON, 8.8 ,PEPPER RD CONNECTION,7700,97000,94000,7400,94000,91000
2,3 ,SIS, 44.67 ,FOREST MOUNTAIN RANCH,330,3550,2900,330,3550,2900
4,12 ,SON, 18.35 ,"SANTA ROSA, BRUSH CREEK RD",3200,41500,39500,3000,38500,36500
4,128 ,SON, 21.9 ,"KELLOGG, FRANZ VALLEY RD",200,2300,2050,190,2200,1950
4,101 ,SON, 7.651 ,"PETALUMA, OLD REDWOOD HWY",7000,89000,86000,7700,97000,94000
4,12 ,SON, 19.442 ,"SANTA ROSA, MIDDLE RINCON RD",2800,35000,33500,2800,34500,32500
2,3 ,TRI,R79.501 ,U. S. FOREST SERVICE RD,50,280,200,50,270,190
4,12 ,SON, 20.1 ,"SANTA ROSA, CALISTOGA RD",2500,30500,29000,2400,30000,28000
1,29 ,LAK, 22.19 ,POINT LAKEVIEW DR,950,10500,9600,850,9400,8600
2,3 ,SIS,R47.264 ,"YREKA, MOONLIT OAKS AVE",1650,15100,13800,1350,11000,10100
4,128 ,SON, 24.761 ,SONOMA COUNTY NAPA COUNTY,250,3000,2650,0,0,0
4,128 ,NAP, 0 ,SONOMA COUNTY NAPA COUNTY,0,0,0,250,3000,2650
2,5 ,SIS,R45.62 ,SOUTH YREKA,2550,22700,17100,2600,23100,16600
1,175 ,LAK, 26.54 ,DRY CREEK RD,420,3900,3500,340,3400,3100
