DISTRICT,RTE,RTE_SFX,CNTY,PM_PFX,PM,PM_SFX,DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT,,
05,001,,SB,R,34.777,,"ORCUTT, JCT. RTE. 135 NORTH",2400,21000,19800,500,4400,4130,,"63,200"
05,001,,SB,R,35.530,,CLARK AVENUE,390,3400,3210,470,4150,3900,,"63,200"
05,001,,SB,,41.810,,CASMALIA ROAD,640,6000,5300,430,3950,3550,,"65,000"
05,001,,SB,,49.199,,"GUADALUPE, JCT. RTE. 166 EAST",440,3900,3000,830,7200,6900,,"65,000"
05,001,,SB,,50.408,,GUADALUPE NORTH CITY LIMITS,870,7500,7250,870,7500,7250,,"65,000"
05,001,,SB,,50.606,,SANTA BARBARA/SAN LUIS OBISPO COUNTY LINE,970,8400,8050,0,0,0,,"65,000"
05,001,,SLO,,0,,SANTA BARBARA/SAN LUIS OBISPO COUNTY LINE,0,0,0,610,6800,5850,,"67,000"
05,001,,SLO,,1.291,,OSO FLACO UNDERPASS,610,6800,5850,740,8300,7150,,"67,000"
05,001,,SLO,,6.350,,"ENTRANCE, UNION OIL COKING PLANT",760,8500,7300,800,8900,7700,,"67,300"
05,001,,SLO,,10.290,,ARROYO GRANDE ROAD,540,6000,5200,390,4400,3800,,"68,900"
05,001,,SLO,,10.900,,HALCYON ROAD,750,8300,7200,1050,11400,9900,,"69,400"
05,001,,SLO,,13,,"ENTRANCE, PISMO BEACH STATE PARK",840,9400,8100,1100,12400,10700,,"70,700"
05,001,,SLO,,14.100,,"GROVER CITY, GRAND AVENUE",1200,13200,11400,1350,15000,13000,,"70,700"
05,001,,SLO,,15.268,,"PISMO BEACH, VILLA CREEK",1100,12500,10800,1100,12500,10400,,"70,700"
05,001,,SLO,L,16.543,,"PISMO BEACH, SOUTH JCT. RTE. 101",750,8100,7200,1000,11000,9800,,"72,700"
05,001,,SLO,,16.770,,"SAN LUIS OBISPO, NORTH JCT. RTE. 101",2550,27500,24400,3000,31000,28800,,"72,900"
05,001,,SLO,,17.341,,"SAN LUIS OBISPO, FOOTHILL BOULEVARD",3450,36500,33400,3450,36500,33400,,"72,900"
05,001,,SLO,,17.874,,HIGHLAND DRIVE,3050,32000,29300,2700,28500,25800,,"72,900"
05,001,,SLO,,19.710,,"ENTRANCE, CALIFORNIA MEN'S COLONY",2600,27500,25000,2400,25000,22900,,"72,900"
05,001,,SLO,,20.890,,"ENTRANCE, CAMP SAN LUIS OBISPO",2300,24200,22100,2200,23300,21300,,"72,900"
05,001,,SLO,,22.653,,"ENTRANCE, CUESTA COLLEGE",1950,20700,18900,1950,20600,18800,,"72,900"
05,001,,SLO,,27.883,,BAYWOOD PARK ROAD,1400,14900,13600,2750,29000,26300,,"76,600"
05,001,,SLO,,28.820,,"MORRO BAY, SOUTH MORRO BAY",2750,29500,26300,2300,24900,22200,,"76,600"
05,001,,SLO,,29.618,,"MORRO BAY, NORTH MORRO",2300,24900,22200,2600,28000,25000,,"76,600"
05,001,,SLO,,30.135,,"JCT. RTE. 41, NORTHEAST",2600,28000,25000,2050,22100,19500,,"76,600"
05,001,,SLO,,31.130,,"MORRO BAY, SAN JACINTO STREET",2400,24200,19500,1950,19800,15900,,"76,600"
05,001,,SLO,,31.970,,"ATASCADERO BEACH, YERBA BUENA STREET",1850,18900,15200,1850,18600,15000,,"76,600"
05,001,,SLO,R,34.905,,OLD CREEK ROAD ,1400,14300,11500,890,9000,7250,,"80,300"
05,001,,SLO,R,35.959,,C STREET,890,9000,7250,740,7600,6000,,"80,300"
05,001,,SLO,,45.990,,JCT. RTE. 46,1050,10300,7600,1400,14100,9700,,"81,200"
05,001,,SLO,,46.850,,CAMBRIA AIR FORCE BASE ROAD,1400,14100,9700,1250,12400,8600,,"81,200"
05,001,,SLO,,48.260,,ARDATH DRIVE/MAIN STREET,1150,11500,7950,1100,11600,7500,,"81,200"
05,001,,SLO,,54.804,,PICO CREEK,660,6500,4500,660,6500,4500,,"81,200"
05,001,,SLO,,56.390,,HEARST CASTLE STATE PARK,650,6400,4450,380,3800,2600,,"81,200"
